gtx 1060,https://www.nowinstock.net/computers/videocards/nvidia/gtx1060/full_history.php,20 21 22 23 24 25 26
rx 580,https://www.nowinstock.net/computers/videocards/amd/rx580/full_history.php,2 30 31 32
rx 570,https://www.nowinstock.net/computers/videocards/amd/rx570/full_history.php,2
gtx1070ti,https://www.nowinstock.net/computers/videocards/nvidia/gtx1070ti/full_history.php,3 40 41 42 43 44
gtx 1070,http://www.nowinstock.net/computers/videocards/nvidia/gtx1070/full_history.php,3 40 41 42 43
gtx 1080,http://www.nowinstock.net/computers/videocards/nvidia/gtx1080/full_history.php,4 50 51 52 53 54 55 56 57 58
gtx 1080ti,http://www.nowinstock.net/computers/videocards/nvidia/gtx1080ti/full_history.php,5 6 70 71 72 73
vega 64,http://www.nowinstock.net/computers/videocards/amd/rxvega64/full_history.php,7 8 9
gtx 1050ti,http://www.nowinstock.net/computers/videocards/nvidia/gtx1050ti/full_history.php,12 13 14 15
vega 56,http://www.nowinstock.net/computers/videocards/amd/rxvega56/full_history.php,5 6
